primary_impression_group,60s_-sd,70s_-sd,80s_-sd,90s_-sd,100s_-sd,110s_-sd,call_to_heat_index_ratio_mean,call_to_heat_index_ratio_sd,sd_%_of_mean
Hypotension,0.10308221931808946,-1.1506937842372278,-1.2096966412310277,0.4906490208421212,0.4357622195119108,1.3308969657961343,10.762504132982857,5.4568492675452696,50.70241274818345
Hypothermia,1.2250880092764171,-0.8936632338199951,-0.7338691456535059,0.4024443701970839,NA,NA,516,337.934904974316,65.49126065393722
Inhalation Carbon Monoxide,NA,NA,NA,NA,NA,NA,764,NA,NA
Obvious Death,0.35042886114632177,-0.37020567411905786,-0.6431425219030021,-1.4397728821730635,0.9048677200395179,1.197824497009285,10.212582514095072,2.682014370315695,26.261862429156064
Other Cardiovascular Problem,1.0934205009295097,0.17941049782621307,-1.6441581609626694,0.19043288190816374,0.1808942802987833,NA,58.563809523809525,22.465107891180008,38.36005217872082
Respiratory Arrest,NA,-0.7718662329989991,-0.35781878350946933,1.1296850165084684,NA,NA,239.11111111111111,43.47327829743147,18.1812037489258
Respiratory Distress,1.368010329946643,-0.6108784128198784,-1.1846049267872174,0.1555545003737971,-0.6674458203059525,0.9393643295926063,2.789889330209129,0.4860265420912881,17.42099719972963
Seizure,1.6214725917947213,-0.0693578284008049,-0.868063076456699,-0.33371440841100225,0.6732856053037063,-1.0236228838299202,1.9863150177229605,0.33900992356871906,17.067278882951193
Stroke/CVA,0.3901848613403028,-0.15512974762405313,-1.5823764875294097,0.21971259244525118,1.1276087813679094,NA,8.39307953120663,1.401709136469494,16.700772717067025
Substance/Drug Abuse,-1.690641948232082,-0.3163766037591178,-0.2411023987426048,0.3737464203483832,0.7284063345615588,1.1459681958238639,2.3060966516236125,0.7906821977482527,34.28660274024383
Syncope/Fainting,0.7843798226152396,-0.7754361935246474,-1.2549059875586452,0.15798286381991733,1.0879794946481347,NA,5.06124057102318,0.7986665952711822,15.780055977653792
TIA (Transient Ischemic Attack),-0.8383419142655112,0.015007032395308035,-1.1400918954044144,0.7951313169664196,1.168295460308197,NA,82.15523809523809,23.67144188674894,28.81306467556935
Unconscious,-1.4175151626259617,-0.6915986371833045,0.5647769687342357,0.7931557980758248,0.7511810329992088,NA,6.48165115508569,0.5672342362384751,8.751384834918289
Withdrawal/Overdose Drugs,-0.6279209501871258,-1.261376600518759,-0.4751321174535949,0.1357960519688807,0.7354702972190806,1.4931633189715188,1.346974857672369,0.4332914219443866,32.167743850329394
Withdrawal/Overdose ETOH,-1.1215888611700533,-0.944861207079642,-0.4995596428701384,0.5094512240337509,0.6925271519647901,1.3640313351212923,4.521283502057257,2.0316860989200287,44.93604742979685
