"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of adults reporting to have asthma in 2013."
"24510170300, MD","24510170300","=""24510170300""","12.59"
"24510100200, MD","24510100200","=""24510100200""","15.09"
"24510130100, MD","24510130100","=""24510130100""","12.98"
"24510080700, MD","24510080700","=""24510080700""","13.77"
"24510070100, MD","24510070100","=""24510070100""","11.75"
"24510180300, MD","24510180300","=""24510180300""","11.97"
"24510200702, MD","24510200702","=""24510200702""","12.45"
"24510190200, MD","24510190200","=""24510190200""","10.73"
"24510170100, MD","24510170100","=""24510170100""","12.20"
"24510120400, MD","24510120400","=""24510120400""","11.94"
"24510080301, MD","24510080301","=""24510080301""","11.62"
"24510200100, MD","24510200100","=""24510200100""","11.54"
"24510060200, MD","24510060200","=""24510060200""","9.76"
"24510160300, MD","24510160300","=""24510160300""","12.17"
"24510080400, MD","24510080400","=""24510080400""","13.54"
"24510060100, MD","24510060100","=""24510060100""","10.57"
"24510200300, MD","24510200300","=""24510200300""","13.20"
"24510180200, MD","24510180200","=""24510180200""","14.41"
"24510070300, MD","24510070300","=""24510070300""","13.97"
"24510261100, MD","24510261100","=""24510261100""","8.84"
"24510230200, MD","24510230200","=""24510230200""","8.51"
"24510240300, MD","24510240300","=""24510240300""","8.75"
"24510020200, MD","24510020200","=""24510020200""","8.60"
"24510060300, MD","24510060300","=""24510060300""","10.49"
"24510020100, MD","24510020100","=""24510020100""","8.50"
"24510100300, MD","24510100300","=""24510100300""","N/A"
"24510010500, MD","24510010500","=""24510010500""","9.23"

"Location: Baltimore (City, 2010)"

"Census Tract Boundary Year: 2010"

"Indicator source: CDC BRFSS & PolicyMap"
"http://www.policymap.com/our-data-directory.html#CDC%20Behavioral%20Risk%20Factor%20Surveillance%20System"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
